Date,ON
2017-12-26,
2017-12-27,1.435
2017-12-28,1.4375
2017-12-29,1.42875
2017-12-30,
2017-12-31,
2018-01-01,
2018-01-02,1.4375
2018-01-03,1.43875
2018-01-04,1.4375
2018-01-05,1.4375
2018-01-06,
2018-01-07,
2018-01-08,1.4375
2018-01-09,1.4375
2018-01-10,1.43625
2018-01-11,1.4375
2018-01-12,1.4375
2018-01-13,
2018-01-14,
2018-01-15,
2018-01-16,1.43875
2018-01-17,1.4375
2018-01-18,1.4375
2018-01-19,1.4375
2018-01-20,
2018-01-21,
2018-01-22,1.4375
2018-01-23,1.4375
2018-01-24,1.4375
2018-01-25,1.43813
2018-01-26,1.43813
2018-01-27,
2018-01-28,
2018-01-29,1.43938
2018-01-30,1.43938
2018-01-31,1.43938
2018-02-01,1.44375
2018-02-02,1.44375
2018-02-03,
2018-02-04,
2018-02-05,1.43938
2018-02-06,1.43875
2018-02-07,1.43875
2018-02-08,1.43875
2018-02-09,1.44
2018-02-10,
2018-02-11,
2018-02-12,1.4425
2018-02-13,1.44375
2018-02-14,1.44375
2018-02-15,1.44375
2018-02-16,1.445
2018-02-17,
2018-02-18,
2018-02-19,
2018-02-20,1.445
2018-02-21,1.445
2018-02-22,1.44438
2018-02-23,1.44813
2018-02-24,
2018-02-25,
2018-02-26,1.4475
2018-02-27,1.4475
2018-02-28,1.4425
2018-03-01,1.44625
2018-03-02,1.4475
2018-03-03,
2018-03-04,
2018-03-05,1.4475
2018-03-06,1.44688
2018-03-07,1.44688
2018-03-08,1.44688
2018-03-09,1.44688
2018-03-10,
2018-03-11,
2018-03-12,1.445
2018-03-13,1.445
2018-03-14,1.445
2018-03-15,1.445
2018-03-16,1.44625
2018-03-17,
2018-03-18,
2018-03-19,1.4475
2018-03-20,1.4475
2018-03-21,1.44875
2018-03-22,1.6975
2018-03-23,1.6975
2018-03-24,
2018-03-25,
2018-03-26,1.6975
2018-03-27,1.6975
2018-03-28,1.69875
2018-03-29,1.69688
2018-03-30,
2018-03-31,
2018-04-01,
2018-04-02,
2018-04-03,1.69938
2018-04-04,1.70188
2018-04-05,1.70313
2018-04-06,1.70313
2018-04-07,
2018-04-08,
2018-04-09,1.70188
2018-04-10,1.70188
2018-04-11,1.70188
2018-04-12,1.70313
2018-04-13,1.70188
2018-04-14,
2018-04-15,
2018-04-16,1.70125
2018-04-17,1.70375
2018-04-18,1.705
2018-04-19,1.70313
2018-04-20,1.70313
2018-04-21,
2018-04-22,
2018-04-23,1.70313
2018-04-24,1.70313
2018-04-25,1.70313
2018-04-26,1.70313
